"ssn","bank_name","IBAN","account_id"
"76465777888","ملت","IR667259712945817755489886","137312"
"48070356279","صادرات","IR399699491092017606002897","181370"
"48070356279","ملی","IR256906720881778474364037","544644"
"48070356279","ملت","IR783608217578624984874317","606472"
"77888219035","تجارت","IR691481656739839746985343","613769"
"77888219035","ملت","IR914574767914494033019817","896200"
"22824903205","تجارت","IR424465195617753591543381","766023"
"10318184959","تجارت","IR838029334100463964084759","645180"
"22824903205","ملت","IR385433263268368923823990","294032"
"22824903205","تجارت","IR161171761040356673577149","665940"
"90208511396","سرمایه","IR908831398789317515447653","881024"
"55059926183","ملت","IR699963735717652336070680","163147"
"97224291214","صادرات","IR892582583941127903819245","428015"
"97224291214","ملت","IR245474093715139036915920","264260"
"65688604472","سرمایه","IR233518759906214400379131","800279"
"65688604472","ملی","IR165770184089435531878496","355357"
"10318184959","سرمایه","IR603887880757845204614083","641091"
"82526933183","تجارت","IR963702186622830268653223","913744"
"82526933183","صادرات","IR737135913617155384411134","639316"
"82526933183","ملت","IR188546560327090518261754","211677"
"11825927551","ملی","IR790271892217654638811368","767466"
"33553765741","ملی","IR206859564685187353143112","454865"
"30422525320","صادرات","IR936999528365291523902378","195022"
"30422525320","ملی","IR635747677429828892158441","102457"
"30422525320","سرمایه","IR720504092507143690866963","995104"
"30422525320","صادرات","IR204352588678849094721953","252049"
"49737196131","تجارت","IR220482162113934297704139","600682"
"49737196131","صادرات","IR653830687921645268639633","867145"
"49737196131","سرمایه","IR616080534760010914119830","971726"
"49737196131","ملت","IR711021523315439262252546","226463"
"72309449583","تجارت","IR270913324793324477614756","222805"
"72309449583","صادرات","IR338366763486274295154991","501352"
"57074933189","ملت","IR927480030341664044635285","705174"
"60998193625","سرمایه","IR775717839664077954014004","463290"
"60998193625","سرمایه","IR794844052062148954958481","690612"
"60998193625","تجارت","IR536736573987646112925546","640196"
"60998193625","تجارت","IR664054851467186266952500","291955"
"36763226184","ملت","IR898475948934706470049721","664517"
"36763226184","صادرات","IR513419401108185270007394","351943"
"58814184889","سرمایه","IR317047273603976637300240","999268"
"58814184889","ملی","IR405296284354605956375564","920309"
"58814184889","صادرات","IR691336557178919798561639","987148"
"40119347287","تجارت","IR487212913058552266952442","834002"
"40119347287","ملی","IR262455575088825462325515","962166"
"40119347287","صادرات","IR731578292034672542917144","724721"
"84320556439","صادرات","IR470871103851557104963094","378008"
"84320556439","صادرات","IR309418617081790816600217","118273"
"19952263664","سرمایه","IR951882660598179403096222","333908"
"19952263664","تجارت","IR769151851080566204590951","389470"
"92637325775","صادرات","IR164574013000524228931163","723370"
"92637325775","ملت","IR422973336547913976103038","440624"
"71477117859","ملی","IR267196313590900326430437","913372"
"39778750260","سرمایه","IR449578945060993961987462","462977"
"30937646422","ملت","IR639472111959995831074610","425579"
"30937646422","ملی","IR138247520149317929340268","273535"
"55789494292","تجارت","IR711468321705966555816838","423314"
"55789494292","تجارت","IR355076429442001183359095","197622"
"55789494292","تجارت","IR491667803862781208187791","475006"
"55789494292","تجارت","IR223659172654580577058891","248740"
"92132521081","صادرات","IR854529567688020647534625","134517"
"92132521081","سرمایه","IR615039357749083037469218","299886"
"75670892400","صادرات","IR642242294296955222887206","995825"
"75670892400","صادرات","IR641174696725592132822403","176624"
"40379122367","تجارت","IR362335438900251068727927","200373"
"81041355243","ملت","IR258425054002378580420428","327706"
"40379122367","ملت","IR405528139939055459849740","469397"
"46730468386","ملی","IR692731493860841830037873","538991"
"46730468386","تجارت","IR603602227069120104185242","142323"
"90857258083","تجارت","IR933340366952163473593330","829318"
"61082455547","ملت","IR403926769642437295390544","409565"
"61082455547","ملی","IR259433626975039231521609","928095"
"61082455547","ملی","IR322901744473488433883285","468404"
"61082455547","تجارت","IR182129575139262515485608","823309"
"90766043717","ملت","IR822427855949845411758191","898933"
"90766043717","ملی","IR716168035449340675090999","770570"
"90766043717","سرمایه","IR665735529393520595805009","916696"
"90766043717","سرمایه","IR166057377402760336466737","847189"
"93395191107","سرمایه","IR437702034517096966587772","461316"
"93395191107","سرمایه","IR170110166425713344403181","118913"
"93395191107","ملت","IR728654010352353375400365","228156"
"93395191107","صادرات","IR585242606445127186561958","579207"
"15003722057","صادرات","IR334530302023333911756153","101213"
"15003722057","ملت","IR623775249118459855731785","211455"
"15003722057","ملی","IR601246663511539733017833","924909"
"15003722057","صادرات","IR513853412816785787010412","476365"
"19769920845","تجارت","IR904933162910300253938393","264491"
"85113697370","صادرات","IR127060093642134063022489","725563"
"85113697370","ملی","IR235295377020022484052618","676211"
"85113697370","صادرات","IR104320554725100864579212","388290"
"10318184959","ملت","IR847397881881091738925273","668105"
"74538292115","ملی","IR418623928047227625095789","140200"
"77132792314","سرمایه","IR766576351174449061872638","960053"
"77132792314","سرمایه","IR235848327351166349232553","659624"
"81729767675","ملت","IR570645008451751885928167","138347"
"40379122367","سرمایه","IR668159506362485551896191","598187"
"88999167612","سرمایه","IR982463621630601834625851","732389"
"88999167612","ملی","IR979479495802593193247600","108610"
"31744245149","تجارت","IR969432467814535165970650","239645"
"93325550487","ملت","IR497361226391975873539240","865959"
"93325550487","ملت","IR322399830991540935505172","987005"
"93325550487","سرمایه","IR622163998020461169725587","224323"
"33446405930","سرمایه","IR837165227749989735120757","146565"
"33446405930","ملت","IR437137383763868165581952","807196"
"33446405930","سرمایه","IR124398675433832803990651","752879"
"56564771843","صادرات","IR918168067930633111582908","909738"
"56564771843","سرمایه","IR317769258745605860033355","763900"
"33471662463","ملی","IR323382209076752319578229","645462"
"33471662463","سرمایه","IR498374324779068157577733","210069"
"68457066061","سرمایه","IR920195944443714478931794","981311"
"68457066061","ملی","IR349486631605366400270274","444366"
"19081257821","صادرات","IR439945522033642168506590","313582"
"19081257821","صادرات","IR911137899722283429135126","634187"
"19081257821","ملت","IR827284275535762418030340","661716"
"19081257821","صادرات","IR246151297888033002473703","127421"
"75311164356","تجارت","IR431951408992563277438379","726923"
"75311164356","ملی","IR747093782320791638750816","801888"
"75311164356","ملت","IR743739014147457281636994","494783"
"69448536714","صادرات","IR457445047024435808563844","776482"
"31937916488","ملت","IR138902739789304982962770","718396"
"36763226184","تجارت","IR555950739265034749629998","289285"
"77888219035","صادرات","IR115360037511144330602213","681287"
"67320326336","ملی","IR382828897149830623573759","894451"
"67320326336","ملت","IR470810615537957077430280","203473"
"67320326336","ملت","IR121044030829479120819323","290613"
"76468328120","ملی","IR293586647804168175318033","454020"
"76468328120","تجارت","IR793500708939740265145823","998515"
"76468328120","صادرات","IR170281417550970315530112","266258"
"16867894969","صادرات","IR115115002698515361812817","857359"
"89501156330","ملی","IR674169861219683775967871","811724"
"89501156330","تجارت","IR613110490055855574252795","791300"
"89501156330","سرمایه","IR844979057034037775136041","309532"
"89501156330","سرمایه","IR588647396342472177049221","371302"
"36191272611","تجارت","IR652467197293418298088996","761086"
"36191272611","ملت","IR503812876202627263633180","881782"
"36191272611","سرمایه","IR486498555461915883275586","214437"
"36191272611","ملی","IR665889117962335421585535","759230"
"86778582069","ملی","IR957489934389937418483509","734268"
"86778582069","سرمایه","IR216563541850431145757259","443038"
"86778582069","سرمایه","IR709153413903288478360384","628167"
"86778582069","ملت","IR517159412501690813845346","648906"
"67245716854","ملت","IR397455242599353145830079","994761"
"67245716854","تجارت","IR691677927302593303871808","753521"
"64675292699","صادرات","IR735845555072290265593459","552418"
"18536238376","صادرات","IR871237263568610142938249","995416"
"18536238376","تجارت","IR389767809955637805823008","631630"
"70232533224","ملی","IR617806394930730709453603","973855"
"70232533224","صادرات","IR273169771476611112012608","981862"
"80309559746","ملت","IR149907866225783317632466","407736"
"80309559746","ملی","IR693503965100012081688705","754062"
"22319008932","سرمایه","IR937732830757097915268871","948388"
"69191273419","تجارت","IR426411725783984769585696","991750"
"69191273419","صادرات","IR603211674212811008819122","257254"
"69191273419","ملی","IR673187295462917247737368","663784"
"36405577647","ملت","IR318698550358175571725526","367353"
"36405577647","ملی","IR967553471249050929318890","938411"
"36405577647","صادرات","IR103755919059540025197153","744865"
"45892798683","صادرات","IR939773647735988843476434","111574"
"45892798683","ملی","IR275291783983791604849757","689852"
