"plate","ssn","model","color"
"21ر299","76465777888","دنا","purple"
"73ب085","76465777888","هیوندا","green"
"53ب844","48070356279","هیوندا","teal"
"24ی855","77888219035","رانا","navy"
"90ر592","22824903205","دنا","silver"
"27ق106","22824903205","تیوتا","black"
"57ی622","22824903205","پراید","white"
"97ج881","90208511396","لامبورگینی","fuchsia"
"39س506","55059926183","لامبورگینی","teal"
"75ط532","55059926183","هیوندا","silver"
"21ج422","55059926183","دنا","aqua"
"17ط814","90792622874","رانا","olive"
"91ی383","82526933183","رانا","black"
"96ی822","11825927551","لامبورگینی","green"
"13ر048","11825927551","رانا","teal"
"13ج596","11825927551","لامبورگینی","lime"
"97و566","33553765741","هیوندا","silver"
"93ج133","33553765741","پراید","navy"
"44ق293","30422525320","هیوندا","yellow"
"37ب948","49737196131","دنا","purple"
"90و548","65024499608","هیوندا","blue"
"98ق860","65024499608","دنا","blue"
"96ب137","65024499608","هیوندا","gray"
"62ر726","57074933189","لامبورگینی","teal"
"76ق609","36763226184","هیوندا","teal"
"57ی657","36763226184","لامبورگینی","fuchsia"
"93ر109","58814184889","دنا","navy"
"28ج988","58814184889","رانا","blue"
"20و301","40119347287","پژو","aqua"
"91و915","40119347287","دنا","lime"
"87ط808","40119347287","پژو","lime"
"43ی096","84320556439","لامبورگینی","yellow"
"74ی291","84320556439","پژو","lime"
"52ج347","92637325775","پژو","white"
"40ر222","92637325775","دنا","yellow"
"13و018","92637325775","دنا","maroon"
"41س005","71477117859","پژو","maroon"
"27س558","39778750260","دنا","blue"
"47ی924","55789494292","لامبورگینی","blue"
"55س316","55789494292","لامبورگینی","aqua"
"38ب775","55789494292","پژو","fuchsia"
"54ر750","69568323150","رانا","silver"
"94ق997","69568323150","رانا","teal"
"50س881","92132521081","پژو","navy"
"52و231","92132521081","دنا","aqua"
"40ب180","92132521081","هیوندا","maroon"
"58ط299","47674564865","هیوندا","lime"
"58ج228","15292535857","پراید","lime"
"13ب149","15292535857","رانا","blue"
"80ط961","46730468386","هیوندا","lime"
"71س286","61082455547","تیوتا","maroon"
"50ی093","61082455547","هیوندا","lime"
"33ج635","61082455547","پژو","purple"
"29ج511","90766043717","تیوتا","green"
"23ب236","90766043717","دنا","black"
"22ط084","93395191107","رانا","green"
"46ج275","93395191107","پراید","lime"
"82س533","15003722057","پراید","green"
"15ج097","15003722057","هیوندا","blue"
"50ر507","85113697370","لامبورگینی","olive"
"80ی669","10318184959","دنا","lime"
"12و170","10318184959","تیوتا","blue"
"42ط677","10318184959","رانا","teal"
"73ط721","74538292115","پراید","silver"
"44و013","74538292115","پراید","black"
"82و626","74538292115","دنا","black"
"21ب563","77132792314","پراید","green"
"19ی150","77132792314","تیوتا","yellow"
"28س744","77132792314","هیوندا","maroon"
"98س926","81729767675","تیوتا","aqua"
"53و926","81729767675","تیوتا","silver"
"92ب281","75899312417","پژو","yellow"
"24ج614","40379122367","تیوتا","blue"
"68س367","40379122367","دنا","maroon"
"43ج023","40379122367","لامبورگینی","fuchsia"
"74ط971","42167291116","پراید","gray"
"82ج418","42167291116","لامبورگینی","maroon"
"47س606","42167291116","تیوتا","white"
"30ی316","88999167612","دنا","aqua"
"57س379","88999167612","پژو","white"
"89ق001","88999167612","رانا","fuchsia"
"27ب706","31744245149","دنا","yellow"
"76ق614","33446405930","لامبورگینی","maroon"
"74ج423","33446405930","رانا","teal"
"12ط153","56564771843","لامبورگینی","black"
"97ج251","56564771843","دنا","purple"
"49ج685","33471662463","رانا","aqua"
"94ج114","33471662463","هیوندا","maroon"
"17ق218","51481148599","رانا","aqua"
"72و308","51481148599","رانا","teal"
"67ج369","86491215045","پراید","gray"
"28ب203","68457066061","لامبورگینی","green"
"66ق847","68457066061","تیوتا","yellow"
"69ی300","75311164356","تیوتا","navy"
"93ج669","75311164356","دنا","black"
"66ر789","75311164356","دنا","blue"
"57ق692","50534322010","لامبورگینی","green"
"70س944","50534322010","هیوندا","navy"
"37و432","50534322010","هیوندا","blue"
"82ط567","69448536714","دنا","silver"
"32س552","31937916488","هیوندا","olive"
"53ب270","31937916488","هیوندا","teal"
"48ی162","42043377667","پراید","silver"
"79ق032","67320326336","رانا","purple"
"64ج475","67320326336","رانا","navy"
"71س570","67320326336","پژو","aqua"
"30و277","76468328120","پراید","fuchsia"
"32س981","76468328120","پژو","black"
"85ق808","16867894969","رانا","aqua"
"51ج793","16867894969","تیوتا","yellow"
"85ب123","46091309461","تیوتا","navy"
"45و397","46091309461","هیوندا","green"
"11ی583","89501156330","پراید","gray"
"98ی826","89501156330","تیوتا","black"
"34ق296","89501156330","لامبورگینی","maroon"
"15ب948","36191272611","پراید","maroon"
"78ب411","36191272611","پراید","silver"
"25ب760","86778582069","تیوتا","gray"
"32و193","86778582069","لامبورگینی","blue"
"45و970","67245716854","هیوندا","olive"
"46ط203","67245716854","هیوندا","aqua"
"79ب469","64675292699","هیوندا","lime"
"15و303","18536238376","پراید","fuchsia"
"17ق597","80309559746","لامبورگینی","green"
"85س650","22319008932","دنا","maroon"
"91ی951","22319008932","پراید","green"
"97ق371","69191273419","لامبورگینی","aqua"
"52س028","69191273419","تیوتا","yellow"
"13و202","69191273419","لامبورگینی","silver"
"99ق504","36405577647","هیوندا","lime"
"56ج949","36405577647","دنا","teal"
"20ج808","45892798683","دنا","lime"
"45ق321","45892798683","پژو","lime"
"55ج360","45892798683","رانا","green"
"88ی723","97321613111","تیوتا","fuchsia"
"17ر181","97321613111","هیوندا","green"
"48س430","97321613111","رانا","blue"
"35س078","87179915573","رانا","yellow"
"65ق613","87179915573","دنا","olive"
"23ر848","19652613981","تیوتا","maroon"
"40ط762","95975015130","لامبورگینی","purple"
"48ق297","95975015130","پراید","green"
"90ق835","31190689286","پژو","silver"
"11ج745","31190689286","دنا","maroon"
"82ط214","46519294740","پراید","lime"
"83ج692","59095165555","پراید","silver"
"19ب312","59095165555","لامبورگینی","navy"
"91ج679","87474057898","هیوندا","navy"
"90ب600","87474057898","پژو","olive"
"28ب763","87474057898","پراید","white"
"88ط660","10969146971","دنا","fuchsia"
"57ج000","10969146971","پژو","lime"
"49ط295","10969146971","پژو","silver"
"53ق237","82410881555","هیوندا","maroon"
"64ی604","82410881555","پژو","maroon"
"32ر435","21840356076","دنا","blue"
"48ق876","21840356076","پراید","blue"
"35ی350","51074823863","دنا","maroon"
