"ssn","price","postal_code","size","address"
"76465777888","110423981","9655617003","239","982 جهانی جاده, روستای بنيامين, گلستان 69608"
"48070356279","329307361","2523923841","155","6679 بهرامی آزاد راه سوئیت 691, بندر علیرضا, گلستان 6192"
"77888219035","958280297","2394871455","107","4200 پریا کوه واحد 370, بندر محمدپارسا, سیستان و بلوچستان 0385"
"22824903205","365922381","2830198208","280","028 هدایت بزرگ راه واحد 759, باغات آيلين, هرمزگان 5507890186"
"55059926183","794189604","3631879044","297","2629 ریحانه میدان سوئیت 881, بندر مبین, گیلان 1302"
"55059926183","99223015","1972404923","283","088 هومن بزرگ راه واحد 617, باغات مهدي, همدان 9093"
"90792622874","264224767","1703053242","232","455 سماوات کوه, غرب طاها, قم 168"
"97224291214","919981781","4075928712","202","9711 نوری جزیره واحد 617, باغات حدیث, البرز 444229"
"11825927551","190366304","5623654521","115","592 محمدحسین دره واحد 091, دهستان فاطمه زهرا, البرز 07513"
"11825927551","330792740","6771346158","102","234 نعمتی کوه واحد 004, باغات حنانه, کرمان 512"
"33553765741","450220341","6092789633","257","99231 جهانی بن بست واحد 583, شهر آرمین, خراسان شمالی 260"
"30422525320","300281460","8449496460","225","5772 علي میدان, غرب يوسف, مازندران 191"
"30422525320","799983667","5287126046","164","967 لاهوتی تقاطع, استان ايليا, آذربایجان غربی 6153722797"
"49737196131","562649616","7591477406","273","99779 نوبختی میدان سوئیت 017, جنوب سوگند, آذربایجان غربی 72978"
"49737196131","758730179","4447130182","251","83300 محمد بن بست واحد 324, شمال زینب, خراسان شمالی 5040"
"65024499608","853401571","4395971171","130","32673 عبدالعلی تقاطع, بندر بهار, تهران 798"
"65024499608","714937045","5659118934","136","2539 مهدي تونل واحد 885, باغات فاطمه, سیستان و بلوچستان 2563590245"
"60998193625","819766447","8182986024","125","957 مهدیس پل سوئیت 103, شرق ياسين, گلستان 7387815379"
"58814184889","522369833","3438573967","126","39801 علی پور کوه سوئیت 070, شهرستان یاسین, خراسان 961"
"58814184889","335334899","1022836626","92","55499 فاطمياسارينا کوچه, دهستان علی, ایلام 7907"
"40119347287","996629894","3964935307","149","592 هنری بلوار سوئیت 587, شرق حسنا, کرمانشاه 832527"
"27829673848","689635999","7750358472","176","74255 نوبختی دره سوئیت 389, شهرستان سارا, مرکزی 3852336593"
"87118262521","417822633","2703114522","288","9036 نازنين دره, باغات ثنا, خراسان شمالی 833"
"84320556439","486771440","8211816305","175","72387 پارسا دره واحد 095, شهرستان فاطمه, سمنان 437"
"84320556439","732095438","9037159978","268","3761 جنتی آزاد راه سوئیت 100, دهستان مهدي, کردستان 4849"
"19952263664","394355718","2681817287","164","2197 حسام پل سوئیت 579, دهستان محمدحسین, کرمان 46283"
"39778750260","969568494","3206444729","126","831 کرمانی کوه, باغات پرنيا, آذربایجان غربی 9902"
"39778750260","967085230","1940648350","94","9761 زمانی بزرگ راه, شرق سجاد, مازندران 967"
"55789494292","877662552","5805647935","196","923 مهدیان جنب, شهر يسنا, اردبیل 3697738516"
"69568323150","153887403","8877716597","193","045 ولاشجردی آزاد راه سوئیت 973, روستای مبین, لرستان 282074"
"69568323150","955497166","3179042996","293","911 امیر علی بن بست واحد 227, باغات متين, لرستان 135257"
"92132521081","462744798","3822502026","176","1810 ریحانه چهار راه واحد 199, شهرستان النا, آذربایجان شرقی 344658"
"92132521081","716750375","6188272716","108","95427 عباسی آزاد راه, شمال نازنین, یزد 954057"
"75670892400","108932006","8551562505","118","19344 آيدا بزرگ راه سوئیت 498, شهرستان مبینا, فارس 4694"
"75670892400","482870037","4601416071","161","7487 آتنا میدان سوئیت 324, جنوب آريا, آذربایجان شرقی 950"
"15292535857","346122171","5864887254","284","95233 بهمنی تونل سوئیت 211, بندر باران, اصفهان 9988932510"
"15292535857","296035888","1265636543","157","73950 سبحان جزیره, شهرستان هستی, سمنان 2974"
"46730468386","62879049","4941327177","237","691 کوثر میدان واحد 523, باغات محمدمهدي, قم 082295"
"90857258083","465795107","8117018115","187","9465 مجتبوی خیابان, شهر مليکا, چهارمحال و بختیاری 400276"
"90766043717","318110751","9137043824","117","16966 لاچینی تقاطع سوئیت 226, بندر ریحانه, مازندران 9383010672"
"19769920845","163704346","5750417379","277","903 مبين کوچه واحد 490, بندر كیان, کهگیلویه و بویراحمد 99661"
"85113697370","279112793","2514084051","89","7009 رها بزرگ راه, شهر حسام, بوشهر 974986"
"85113697370","671505096","2368040998","109","564 سارا بن بست, شمال ساميار, بوشهر 06382"
"77132792314","965853501","7784545745","217","4345 زارعی پل واحد 171, شهر كیانا, لرستان 90322"
"77132792314","692030057","8806836127","294","40834 معروف بلوار, بندر مهديس, آذربایجان شرقی 8345779237"
"81729767675","952180489","9835474785","259","527 معصومه میدان, شمال آرین, تهران 0109"
"81729767675","595591902","6154453911","284","303 ملیكا بزرگ راه سوئیت 686, شمال مهديس, خراسان رضوی 912065"
"75899312417","722311307","9741711266","204","02158 سينا جاده, جنوب محمدجواد, لرستان 83554"
"40379122367","829185721","9391034825","228","333 تنزیلی پل, شمال رضا, کرمانشاه 300319"
"40379122367","229152330","3882871579","83","50314 مائده تونل, بندر دانيال, هرمزگان 6448600073"
"31744245149","909483210","3010076784","244","1324 عسل بلوار واحد 743, استان مبينا, کرمان 900098"
"31744245149","829488801","6621706498","134","349 محمدامین جزیره واحد 660, شهر نیما, مرکزی 38866"
"33446405930","478239872","2366147929","240","6795 قاضی پل, شمال سارا, گلستان 67114"
"33446405930","83130219","6942967209","196","72976 ولاشجردی بزرگ راه, روستای آيلين, اصفهان 561956"
"51481148599","735273485","8283815009","176","612 نامور کوه واحد 703, استان دانیال, کرمانشاه 271"
"51481148599","671452714","8826179547","81","94589 کابلی بلوار واحد 764, شرق ايليا, فارس 5834"
"86491215045","687339499","5666493807","175","631 يوسف جزیره, شهر پرنيا, اصفهان 81017"
"75311164356","575974071","9331112384","113","82871 صارمی خیابان, بندر مبينا, هرمزگان 369"
"75311164356","399164894","8312825174","286","9848 علی اصغر آزاد راه سوئیت 307, شمال فاطمه, فارس 2165168223"
"50534322010","592914003","9998727952","131","9303 شمشیری بلوار واحد 933, غرب عرفان, آذربایجان غربی 21127"
"50534322010","571489331","8203020461","122","235 پریا تقاطع سوئیت 037, دهستان اسرا, آذربایجان غربی 8108"
"69448536714","428056161","8260769612","261","554 بنيامين تونل سوئیت 014, بندر آراد, زنجان 15645"
"69448536714","911948594","7508378459","182","492 مجتهدی بن بست, غرب رقيه, خراسان 6984847753"
"42043377667","876123916","5933371833","167","8136 محمدرضا کوه, شرق اميرمحمد, خوزستان 55282"
"42043377667","968277399","5722823647","231","429 آیدا کوچه, شرق مبین, خراسان جنوبی 94553"
"76468328120","516203719","8694555267","245","3001 نوروزی کوچه سوئیت 940, شهرستان طاها, خراسان 7005"
"76468328120","818843168","5440676873","205","34898 مجتهدی بلوار واحد 186, شمال امیر علی, لرستان 7857"
"46091309461","395469624","9712851237","204","39464 مهدیان کوچه, دهستان علیرضا, خراسان جنوبی 01220"
"46091309461","607317401","7026456620","183","301 اميرعلي تونل واحد 497, شهرستان مهسا, کرمانشاه 63300"
"67245716854","317251685","8184672352","171","1988 سوگند بن بست واحد 274, بندر عرشیا, سمنان 2928"
"64675292699","175561535","9745590080","244","9063 هومن کوه سوئیت 084, شمال سارا, خوزستان 328"
"64675292699","720148933","7351849783","183","403 يسنا جزیره سوئیت 518, باغات سوگند, زنجان 5189816002"
"18536238376","348544571","7509578611","100","16352 بهمنی تقاطع, روستای كیان, بوشهر 3419812393"
"18536238376","665747063","9607405556","147","6248 ربانی جزیره, دهستان متين, تهران 7164"
"70232533224","942802066","7383319299","170","440 نوروزی جاده سوئیت 691, باغات محمدپارسا, البرز 2749"
"80309559746","293087727","4790259206","261","88881 دادفر بزرگ راه, جنوب اميرعلي, تهران 63113"
"22319008932","716441144","4929367679","219","363 محمدرضا کوه, شرق پارسا, خوزستان 855"
"22319008932","85109719","3644288950","203","157 پرهام تقاطع, باغات محمد, لرستان 963547"
"69191273419","640910039","6162595460","249","3598 علیجانی دره واحد 644, باغات ساميار, کرمانشاه 010"
"36405577647","160159291","4980525365","254","88092 باران تونل سوئیت 590, شرق پرهام, خراسان شمالی 7662082491"
"36405577647","666824565","7109945294","192","18215 مهسا چهار راه, شهر آرین, ایلام 0534"
"45892798683","436289769","8764894371","162","364 اکبر پور جنب سوئیت 828, روستای آیناز, بوشهر 219642"
"97321613111","527351495","1009850505","263","676 خسروجردی بن بست سوئیت 401, شهرستان مريم, کردستان 179697"
"97321613111","861739453","9503277600","204","80588 چنگیزی جنب سوئیت 977, شرق مهدی, آذربایجان غربی 9567"
"87179915573","577396995","3684736227","89","42699 مبینا میدان سوئیت 348, روستای ابوالفضل, قم 04495"
"87179915573","442683041","8155035476","263","6288 صارمی جاده, جنوب آرش, آذربایجان غربی 6186"
"95975015130","258042726","4798178420","220","68413 ماهان کوچه, شهر محیا, ایلام 98443"
"95975015130","368583027","4910611955","104","0235 یگانه تقاطع, غرب معصومه, تهران 389"
"31190689286","413388122","8952168291","158","6912 سمسار جاده واحد 549, روستای ثنا, لرستان 0247"
"99015504057","509518364","7545248964","89","7043 اکبر پور بزرگ راه, استان علی اكبر, سمنان 120"
"59095165555","118408697","7192889402","145","03345 بهار خیابان واحد 020, غرب پریا, تهران 358"
"59095165555","158352452","9597679317","202","959 لاهوتی جاده, روستای آيلين, قزوین 493313"
"82410881555","975276458","8864678868","177","0284 زمانی جزیره, شمال هانيه, سمنان 2223721171"
"51352605215","345041376","9628402307","178","433 احسان تونل سوئیت 657, شهرستان سارا, گیلان 52540"
