"from","to","ownership_id","date","amount"
"76465777888","9655617003","772505","1973-09-21","253559000"
"76465777888","21ر299","106910","2002-02-05","312594000"
"76465777888","73ب085","972053","2015-04-15","76243000"
"48070356279","2523923841","336298","1990-11-24","219548000"
"48070356279","53ب844","687675","1990-08-14","367058000"
"77888219035","2394871455","747961","2015-04-13","741312000"
"77888219035","24ی855","312997","1990-09-08","256735000"
"22824903205","2830198208","735417","1992-03-08","201220000"
"22824903205","90ر592","703717","2010-06-05","72138000"
"22824903205","27ق106","798431","2019-09-14","376337000"
"22824903205","57ی622","934362","2013-07-06","159000000"
"90208511396","97ج881","290675","1979-12-22","361795000"
"55059926183","3631879044","277842","1998-12-20","670769000"
"55059926183","1972404923","399538","2005-01-28","546803000"
"55059926183","39س506","668244","1991-10-22","289039000"
"55059926183","75ط532","734620","2018-07-13","72039000"
"55059926183","21ج422","658324","1974-03-05","226693000"
"90792622874","1703053242","315180","1991-04-04","172667000"
"90792622874","17ط814","310659","1995-09-01","28905000"
"97224291214","4075928712","803100","1976-05-20","126959000"
"82526933183","91ی383","462491","1970-04-23","213022000"
"11825927551","5623654521","940835","1996-03-31","453192000"
"11825927551","6771346158","255946","1970-01-26","458187000"
"11825927551","96ی822","595999","1979-01-14","281623000"
"11825927551","13ر048","659872","2007-09-29","324285000"
"11825927551","13ج596","998457","1973-05-04","318008000"
"33553765741","6092789633","215974","1990-08-28","283730000"
"33553765741","97و566","212589","1999-08-10","49126000"
"33553765741","93ج133","344838","1981-06-05","174228000"
"30422525320","8449496460","713071","2019-01-19","371621000"
"30422525320","5287126046","740038","2005-03-28","234275000"
"30422525320","44ق293","783082","2005-05-13","35489000"
"49737196131","7591477406","947331","2005-07-24","541046000"
"49737196131","4447130182","945532","1996-07-12","575753000"
"49737196131","37ب948","690457","1982-06-23","87058000"
"65024499608","4395971171","769886","2016-10-10","464884000"
"65024499608","5659118934","673415","2013-01-10","350394000"
"65024499608","90و548","706687","1982-01-21","330614000"
"65024499608","98ق860","972594","1970-03-29","216017000"
"65024499608","96ب137","810969","1970-03-17","136503000"
"57074933189","62ر726","104250","2003-06-20","193260000"
"60998193625","8182986024","721962","2007-07-06","143751000"
"36763226184","76ق609","762590","2019-07-03","116230000"
"36763226184","57ی657","278822","1983-08-15","199065000"
"58814184889","3438573967","178120","1974-06-18","510963000"
"58814184889","1022836626","984885","2008-06-18","507720000"
"58814184889","93ر109","367314","1975-06-16","379671000"
"58814184889","28ج988","723234","1973-10-21","307575000"
"40119347287","3964935307","295549","2001-03-21","195790000"
"40119347287","20و301","573191","2011-11-29","221209000"
"40119347287","91و915","986826","2017-03-17","208389000"
"40119347287","87ط808","699890","2012-04-04","47284000"
"27829673848","7750358472","750906","1990-06-16","514399000"
"87118262521","2703114522","916300","1992-12-05","724728000"
"84320556439","8211816305","504355","1973-12-22","605572000"
"84320556439","9037159978","785356","1979-05-01","439950000"
"84320556439","43ی096","296666","1975-06-18","367628000"
"84320556439","74ی291","630854","1972-02-02","115984000"
"19952263664","2681817287","417239","2014-05-07","520262000"
"92637325775","52ج347","679883","1979-03-17","58805000"
"92637325775","40ر222","370015","1975-11-22","100890000"
"92637325775","13و018","385130","1979-12-21","273702000"
"71477117859","41س005","860940","2007-07-26","198087000"
"39778750260","3206444729","964299","1974-12-19","283353000"
"39778750260","1940648350","880115","1990-07-30","559656000"
"39778750260","27س558","291345","2011-10-15","89850000"
"55789494292","5805647935","393517","1973-07-31","127374000"
"55789494292","47ی924","573338","2006-05-08","358981000"
"55789494292","55س316","203944","1973-09-22","128224000"
"55789494292","38ب775","985148","2002-04-23","59627000"
"69568323150","8877716597","168076","1992-06-14","400424000"
"69568323150","3179042996","398405","2008-04-01","416362000"
"69568323150","54ر750","338161","1982-07-04","80421000"
"69568323150","94ق997","297485","1970-05-02","188566000"
"92132521081","3822502026","220388","2019-09-14","328250000"
"92132521081","6188272716","483760","2010-12-16","246363000"
"92132521081","50س881","820813","1977-04-16","190892000"
"92132521081","52و231","678148","1995-07-25","104851000"
"92132521081","40ب180","985234","2005-11-24","136915000"
"47674564865","58ط299","141753","2003-08-28","264202000"
"75670892400","8551562505","291652","2000-01-19","620010000"
"75670892400","4601416071","699961","1997-12-22","244423000"
"15292535857","5864887254","548747","1992-12-05","355736000"
"15292535857","1265636543","612155","1996-08-20","451735000"
"15292535857","58ج228","617050","1986-02-11","65943000"
"15292535857","13ب149","242445","1979-01-02","24569000"
"46730468386","4941327177","768054","2010-03-27","110718000"
"46730468386","80ط961","890951","1984-12-16","29249000"
"90857258083","8117018115","362075","1993-11-06","184774000"
"61082455547","71س286","974805","1987-11-18","99060000"
"61082455547","50ی093","830593","2012-01-26","377366000"
"61082455547","33ج635","222296","1994-06-17","32613000"
"90766043717","9137043824","397364","1982-01-20","657655000"
"90766043717","29ج511","888651","2005-03-31","57391000"
"90766043717","23ب236","487782","1976-05-14","365722000"
"93395191107","22ط084","623734","2016-11-06","144670000"
"93395191107","46ج275","990806","1975-08-01","149221000"
"15003722057","82س533","324955","1981-03-18","49410000"
"15003722057","15ج097","802302","2001-08-16","352252000"
"19769920845","5750417379","119983","2017-06-28","691588000"
"85113697370","2514084051","894704","1990-01-02","278733000"
"85113697370","2368040998","541955","1984-01-10","434957000"
"85113697370","50ر507","721330","2004-06-20","208040000"
"10318184959","80ی669","515554","1998-09-27","369116000"
"10318184959","12و170","866314","1984-09-12","201265000"
"10318184959","42ط677","190141","2005-01-31","47609000"
"74538292115","73ط721","481885","1971-03-13","104434000"
"74538292115","44و013","131034","1991-07-28","199337000"
"74538292115","82و626","826668","1970-05-26","398839000"
"77132792314","7784545745","335853","2000-03-04","127770000"
"77132792314","8806836127","701144","2011-04-19","565177000"
"77132792314","21ب563","889251","2019-11-08","242517000"
"77132792314","19ی150","638380","1973-08-04","125506000"
"77132792314","28س744","743785","2018-09-24","179088000"
"81729767675","9835474785","140552","2017-03-19","728517000"
"81729767675","6154453911","256455","1981-01-10","410229000"
"81729767675","98س926","151607","2001-08-28","380549000"
