"first_name","last_name","ssn","birthday","city","work"
"محمود","احمدی نژاد","76465777888","1997-09-23","تهران","گمرک"
"یوسف","خسروجردی","48070356279","2002-02-18","شرق مائده","قند لرستان"
"محمدرضا","حامی","77888219035","2004-05-12","اصفهان","گمرک"
"حسام","یزدی","22824903205","1984-03-04","روستای آرين","گروه خودروسازی"
"سارا","منصوری","90208511396","1972-04-01","روستای اميرمهدي","آریا بارون توس"
"عبدالناصر","همتی","55059926183","1996-07-05","شهر آرتين","قاچاقچی"
"ماهان","اشرفی","90792622874","1993-07-27","شمال معصومه","سرمايه گذاري صندوق بازنشستگي كشوري"
"دکتر","نوبخت","97224291214","2002-11-09","آذربایجان شرقی","قاچاقچی"
"آرمان","مظلوم زاده","65688604472","1987-12-26","روستای محمدپارسا","سازمان بنادر"
"علی رضا","مجتبوی","82526933183","1972-09-05","غرب فاطمه","واحد پیربکران"
"عرفان","ایروانی","11825927551","1979-11-02","شرق فاطمه","ريسندگي و بافندگي ري"
"دکتر علی","ماهوش","33553765741","2001-04-03","کانادا","سازمان بنادر"
"امیرمهدی","دایی","30422525320","2003-04-06","استان دانیال","آریا رزین"
"حسن","روحانی","49737196131","1982-08-03","نامعلوم","گمرک"
"دکتر","رشادی","72309449583","1992-08-24","جنوب محمدپارسا","گمرک"
"بنیامین","صنایعی","65024499608","1983-05-02","استان آوا","فولاد افزا سپاهان"
"رضا","بهمنی","57074933189","2018-08-16","روستای محمدجواد","ایران ارقام"
"كیان","اشرفی","60998193625","2019-04-16","بندر نرگس","قند هكمتان"
"مهدی","جهانگیری","36763226184","2016-08-22","غرب آوا","قاچاقچی"
"سوگند","نوبختی","58814184889","1983-01-27","غرب هستي","فراورده هاي تزريقي ايران"
"دونالد","ترامپ","40119347287","1993-10-10","کالیفرنیا","گمرک"
"امیرحسین","لاچینی","27829673848","2015-03-29","روستای آوا","صندوق بیمه سرمایه گذاری فعالیت های معدنی"
"يوسف","شمشیری","87118262521","1997-11-24","دهستان اسرا","پارس مسکن خزر"
"عرفان","صیادی","84320556439","2007-06-21","استان حسنا","فراورده هاي تزريقي ايران"
"بهار","صنایعی","19952263664","1991-08-11","شهرستان عرفان","سرمایه گذاری دانایان پارس"
"مهدی","مالوردی","92637325775","2016-11-23","اصفهان-تهران","سازمان بنادر"
"كوثر","گلپایگانی","71477117859","1997-10-18","استان طاها","تسهیل ماشین صنعت"
"اسرا","علیجانی","39778750260","1980-11-24","شهرستان محدثه","تولیدی آرد البرز"
"محمدحسین","میردامادی","30937646422","1991-07-12","شمال کوثر","گروه وسايل اندازه گيري، پزشكي و اپتيكي"
"محدثه","عزیزی","55789494292","2002-05-02","جنوب هلیا","روغنکشی خرمشهر"
"مهدیه","خسروجردی","69568323150","2015-06-25","دهستان فاطمياسارينا","سيمان مازندران"
"يسنا","صارمی","92132521081","1980-05-24","جنوب فاطمه","گروه صنعتي ناب"
"جمال","خاشقچی","47674564865","2014-08-14","عربستان","گمرک"
"امیرعلی","گلی","75670892400","1973-09-11","اصفهان","گمرک"
