"ssn","number","operator"
"76465777888","09128025949","همراه اول"
"50534322010","09469809133","همراه اول"
"97224291214","09134437558","رایتل"
"65688604472","09864121900","رایتل"
"82526933183","09638785443","ایرانسل"
"11825927551","09469063451","همراه اول"
"33553765741","09672968656","رایتل"
"49737196131","09274534991","همراه اول"
"72309449583","09180008914","رایتل"
"65024499608","09403963035","ایرانسل"
"36763226184","09436828174","رایتل"
"58814184889","09197931651","رایتل"
"27829673848","09942677863","همراه اول"
"84320556439","09767432848","رایتل"
"19952263664","09269892458","ایرانسل"
"71477117859","09769034976","همراه اول"
"30937646422","09506896303","رایتل"
"92132521081","09865267829","رایتل"
"15292535857","09937890578","همراه اول"
"90857258083","09761833307","همراه اول"
"61082455547","09614483983","همراه اول"
"93395191107","09409889213","رایتل"
"10318184959","09739137910","همراه اول"
"77132792314","09967938007","همراه اول"
"40379122367","09368314833","همراه اول"
"42167291116","09975505231","همراه اول"
"33471662463","09289121946","ایرانسل"
"86491215045","09882494575","رایتل"
"68457066061","09191499378","ایرانسل"
"19081257821","09169436097","رایتل"
"50534322010","09763442948","ایرانسل"
"69448536714","09340984083","رایتل"
"31937916488","09397421140","رایتل"
"42043377667","09911453998","رایتل"
"67320326336","09806829039","همراه اول"
"46091309461","09397512973","همراه اول"
"36191272611","09184677641","رایتل"
"86778582069","09112549941","رایتل"
"64675292699","09351179334","ایرانسل"
"70232533224","09270641945","همراه اول"
"69191273419","09479244637","ایرانسل"
"68243571508","09554223255","همراه اول"
"87179915573","09868952324","رایتل"
"19652613981","09721597708","همراه اول"
"95975015130","09234359190","همراه اول"
"99015504057","09198020875","رایتل"
"59095165555","09485416064","رایتل"
"51074823863","09320708544","رایتل"
